Sample,Actual_Weight,Predicted_Weight
3,36.5,13.453101
5,29.0,28.751692
12,32.0,33.441685
13,28.0,28.240572
14,26.0,26.002672
15,32.0,30.862957
16,26.0,27.50791
18,38.0,36.06291
20,30.0,12.477317
26,28.0,27.924908
28,38.0,38.134007
31,32.0,22.611444
34,25.0,24.802067
35,29.0,29.344843
36,33.0,32.28244
37,33.0,32.91203
38,30.0,28.978386
41,32.0,31.321718
42,29.0,29.12571
43,20.0,20.04808
44,33.0,33.037296
46,31.0,31.145613
48,36.0,36.083996
49,30.0,20.76592
50,30.0,30.873865
